"","name","city","country","region","members","fullurl","created","past_events","upcoming_events"
"93","R-Ladies Oxford","Oxford","United Kingdom","Europe",31,"https://www.meetup.com/rladies-oxford/",2020-01-12,0,0
"94","R-Ladies Cambridge","Cambridge","United Kingdom","Europe",284,"https://www.meetup.com/rladies-cambridge/",2017-11-10,2,0
"95","R-Ladies Manchester","Manchester","United Kingdom","Europe",480,"https://www.meetup.com/rladies-manchester/",2016-11-29,20,0
"96","R-Ladies London, Ontario","London","Canada","US/Canada",462,"https://www.meetup.com/rladies-ldnont/",2017-01-17,28,0
"97","R-Ladies Coventry","Coventry","United Kingdom","Europe",159,"https://www.meetup.com/rladies-coventry/",2020-02-22,3,1
"98","R-Ladies Tbilisi","Tbilisi","Georgia","Asia",294,"https://www.meetup.com/rladies-tbilisi/",2016-11-29,62,0
"99","R-Ladies Paris","Paris","France","Europe",585,"https://www.meetup.com/rladies-paris/",2016-09-19,15,0
"100","R-Ladies São Paulo","São Paulo","Brazil","Latin America",1153,"https://www.meetup.com/rladies-sao-paulo/",2018-02-10,21,0
"101","R-Ladies Manaus","Manaus","Brazil","Latin America",30,"https://www.meetup.com/R-Ladies-Manaus/",2019-09-11,0,0
"102","R-Ladies Santa Fe","Santa Fe","Argentina","Latin America",214,"https://www.meetup.com/rladies-santa-fe/",2018-05-08,14,0
"103","R-Ladies Colombo","Colombo","Sri Lanka","Asia",154,"https://www.meetup.com/rladies-colombo/",2019-12-15,2,1
"104","R-Ladies La Paz","La Paz","Bolivia","Latin America",287,"https://www.meetup.com/rladies-la-paz/",2018-10-23,24,0
"105","R-Ladies Montreal","Montréal","Canada","US/Canada",521,"https://www.meetup.com/rladies-montreal/",2017-09-14,26,0
"106","R-Ladies Rio de Janeiro","Rio de Janeiro","Brazil","Latin America",601,"https://www.meetup.com/rladies-rio/",2017-02-27,11,0
"107","R-Ladies Buenos Aires","Buenos Aires","Argentina","Latin America",1266,"https://www.meetup.com/rladies-buenos-aires/",2017-01-03,31,0
"108","R-Ladies Syracuse","Syracuse","USA","US/Canada",8,"https://www.meetup.com/rladies-syracuse/",2019-11-30,0,0
"109","R-Ladies Nashville","Nashville","USA","US/Canada",508,"https://www.meetup.com/rladies-nashville/",2016-09-28,18,0
"110","R-Ladies San Jose","San Jose","Costa Rica","Latin America",620,"https://www.meetup.com/rladies-san-jose/",2017-10-09,23,0
"111","R-Ladies New Orleans","New Orleans","USA","US/Canada",37,"https://www.meetup.com/rladies-new-orleans/",2019-11-30,1,0
"112","R-Ladies Santiago","Santiago","Chile","Latin America",2234,"https://www.meetup.com/rladies-scl/",2017-07-18,41,1
"113","R-Ladies Dublin","Dublin","Ireland","Europe",826,"https://www.meetup.com/rladies-dublin/",2016-11-12,24,1
"114","R-Ladies Mid-Mo","Columbia","USA","US/Canada",92,"https://www.meetup.com/rladies-mid-mo/",2019-12-15,12,2
"115","R-Ladies Nairobi","Nairobi","Kenya","Africa",435,"https://www.meetup.com/rladies-nairobi/",2020-06-13,5,0
